,authorYear,study,designType,multiBase,multiProbe,cluster,case,phase,A,B,M,session,outcome,complexityMeasure,singleType,mixedType,generalization,level_AB,level_BM,time_A,time_B,time_M,trend_AB,trend_BM
1214,Maccini & Hughes (2000),9,multiProbe,0,1,8,5,A,1,0,0,2,44,singleType,1,0,0,0,0,0,-40,0,0,0
1215,Maccini & Hughes (2000),9,multiProbe,0,1,8,5,A,1,0,0,6,39,singleType,1,0,0,0,0,4,-36,0,0,0
1216,Maccini & Hughes (2000),9,multiProbe,0,1,8,5,A,1,0,0,8,29,singleType,1,0,0,0,0,6,-34,0,0,0
1217,Maccini & Hughes (2000),9,multiProbe,0,1,8,5,A,1,0,0,12,38,singleType,1,0,0,0,0,10,-30,0,0,0
1218,Maccini & Hughes (2000),9,multiProbe,0,1,8,5,A,1,0,0,15,60,singleType,1,0,0,0,0,13,-27,0,0,0
1219,Maccini & Hughes (2000),9,multiProbe,0,1,8,5,B,0,1,0,42,98,singleType,1,0,0,1,0,40,0,0,0,0
1220,Maccini & Hughes (2000),9,multiProbe,0,1,8,5,B,0,1,0,54,96,singleType,1,0,0,1,0,52,12,0,12,0
1221,Maccini & Hughes (2000),9,multiProbe,0,1,8,5,B,0,1,0,57,98,singleType,1,0,0,1,0,55,15,0,15,0
1222,Maccini & Hughes (2000),9,multiProbe,0,1,8,5,B,0,1,0,64,99,singleType,1,0,0,1,0,62,22,0,22,0
1223,Maccini & Hughes (2000),9,multiProbe,0,1,8,5,B,0,1,0,67,95,singleType,1,0,0,1,0,65,25,0,25,0
1224,Maccini & Hughes (2000),9,multiProbe,0,1,8,5,B,0,1,0,73,98,singleType,1,0,0,1,0,71,31,0,31,0
1225,Maccini & Hughes (2000),9,multiProbe,0,1,8,5,B,0,1,0,80,62,generalization,0,0,1,1,0,78,38,0,38,0
1226,Maccini & Hughes (2000),9,multiProbe,0,1,8,5,B,0,1,0,86,79,generalization,0,0,1,1,0,84,44,0,44,0
1227,Maccini & Ruhl (2000),10,multiProbe,0,1,1,1,A,1,0,0,1,3,singleType,1,0,0,0,0,0,-5,0,0,0
1228,Maccini & Ruhl (2000),10,multiProbe,0,1,1,1,A,1,0,0,2,10,singleType,1,0,0,0,0,1,-4,0,0,0
1229,Maccini & Ruhl (2000),10,multiProbe,0,1,1,1,A,1,0,0,3,51,singleType,1,0,0,0,0,2,-3,0,0,0
1230,Maccini & Ruhl (2000),10,multiProbe,0,1,1,1,A,1,0,0,4,51,singleType,1,0,0,0,0,3,-2,0,0,0
1231,Maccini & Ruhl (2000),10,multiProbe,0,1,1,1,B,0,1,0,6,89,singleType,1,0,0,1,0,5,0,0,0,0
1232,Maccini & Ruhl (2000),10,multiProbe,0,1,1,1,B,0,1,0,7,100,singleType,1,0,0,1,0,6,1,0,1,0
1233,Maccini & Ruhl (2000),10,multiProbe,0,1,1,1,B,0,1,0,9,100,singleType,1,0,0,1,0,8,3,0,3,0
1234,Maccini & Ruhl (2000),10,multiProbe,0,1,1,1,B,0,1,0,10,100,singleType,1,0,0,1,0,9,4,0,4,0
1235,Maccini & Ruhl (2000),10,multiProbe,0,1,1,1,B,0,1,0,12,100,singleType,1,0,0,1,0,11,6,0,6,0
1236,Maccini & Ruhl (2000),10,multiProbe,0,1,1,1,B,0,1,0,13,100,singleType,1,0,0,1,0,12,7,0,7,0
1237,Maccini & Ruhl (2000),10,multiProbe,0,1,1,1,B,0,1,0,15,65,generalization,0,0,1,1,0,14,9,0,9,0
1238,Maccini & Ruhl (2000),10,multiProbe,0,1,1,1,B,0,1,0,17,48,generalization,0,0,1,1,0,16,11,0,11,0
1239,Maccini & Ruhl (2000),10,multiProbe,0,1,1,2,A,1,0,0,1,2,singleType,1,0,0,0,0,0,-7,0,0,0
1240,Maccini & Ruhl (2000),10,multiProbe,0,1,1,2,A,1,0,0,2,50,singleType,1,0,0,0,0,1,-6,0,0,0
1241,Maccini & Ruhl (2000),10,multiProbe,0,1,1,2,A,1,0,0,3,50,singleType,1,0,0,0,0,2,-5,0,0,0
1242,Maccini & Ruhl (2000),10,multiProbe,0,1,1,2,A,1,0,0,6,36,singleType,1,0,0,0,0,5,-2,0,0,0
1243,Maccini & Ruhl (2000),10,multiProbe,0,1,1,2,B,0,1,0,8,100,singleType,1,0,0,1,0,7,0,0,0,0
1244,Maccini & Ruhl (2000),10,multiProbe,0,1,1,2,B,0,1,0,9,100,singleType,1,0,0,1,0,8,1,0,1,0
1245,Maccini & Ruhl (2000),10,multiProbe,0,1,1,2,B,0,1,0,11,92,singleType,1,0,0,1,0,10,3,0,3,0
1246,Maccini & Ruhl (2000),10,multiProbe,0,1,1,2,B,0,1,0,12,92,singleType,1,0,0,1,0,11,4,0,4,0
1247,Maccini & Ruhl (2000),10,multiProbe,0,1,1,2,B,0,1,0,14,100,singleType,1,0,0,1,0,13,6,0,6,0
