,authorYear,study,designType,multiBase,multiProbe,cluster,case,phase,A,B,M,session,outcome,complexityMeasure,singleType,mixedType,generalization,level_AB,level_BM,time_A,time_B,time_M,trend_AB,trend_BM
484,Jitendra et al. (2002),6,multiProbe,0,1,1,2,M,0,0,1,44,83,mixedType,0,1,0,1,1,43,25,9,25,9
485,Jitendra et al. (2002),6,multiProbe,0,1,1,2,M,0,0,1,48,100,mixedType,0,1,0,1,1,47,29,13,29,13
486,Jitendra et al. (2002),6,multiProbe,0,1,1,2,M,0,0,1,49,100,mixedType,0,1,0,1,1,48,30,14,30,14
487,Jitendra et al. (2002),6,multiProbe,0,1,1,3,A,1,0,0,1,33,mixedType,0,1,0,0,0,0,-31,-46,0,0
488,Jitendra et al. (2002),6,multiProbe,0,1,1,3,A,1,0,0,2,50,mixedType,0,1,0,0,0,1,-30,-45,0,0
489,Jitendra et al. (2002),6,multiProbe,0,1,1,3,A,1,0,0,3,50,mixedType,0,1,0,0,0,2,-29,-44,0,0
490,Jitendra et al. (2002),6,multiProbe,0,1,1,3,A,1,0,0,30,33,mixedType,0,1,0,0,0,29,-2,-17,0,0
491,Jitendra et al. (2002),6,multiProbe,0,1,1,3,A,1,0,0,31,17,mixedType,0,1,0,0,0,30,-1,-16,0,0
492,Jitendra et al. (2002),6,multiProbe,0,1,1,3,B,0,1,0,32,100,singleType,1,0,0,1,0,31,0,-15,0,0
493,Jitendra et al. (2002),6,multiProbe,0,1,1,3,B,0,1,0,33,100,singleType,1,0,0,1,0,32,1,-14,1,0
494,Jitendra et al. (2002),6,multiProbe,0,1,1,3,B,0,1,0,34,100,singleType,1,0,0,1,0,33,2,-13,2,0
495,Jitendra et al. (2002),6,multiProbe,0,1,1,3,B,0,1,0,36,67,mixedType,0,1,0,1,0,35,4,-11,4,0
496,Jitendra et al. (2002),6,multiProbe,0,1,1,3,B,0,1,0,37,50,mixedType,0,1,0,1,0,36,5,-10,5,0
497,Jitendra et al. (2002),6,multiProbe,0,1,1,3,B,0,1,0,39,100,singleType,1,0,0,1,0,38,7,-8,7,0
498,Jitendra et al. (2002),6,multiProbe,0,1,1,3,B,0,1,0,40,100,singleType,1,0,0,1,0,39,8,-7,8,0
499,Jitendra et al. (2002),6,multiProbe,0,1,1,3,B,0,1,0,41,100,singleType,1,0,0,1,0,40,9,-6,9,0
500,Jitendra et al. (2002),6,multiProbe,0,1,1,3,B,0,1,0,43,100,mixedType,0,1,0,1,0,42,11,-4,11,0
501,Jitendra et al. (2002),6,multiProbe,0,1,1,3,B,0,1,0,44,100,mixedType,0,1,0,1,0,43,12,-3,12,0
502,Jitendra et al. (2002),6,multiProbe,0,1,1,3,M,0,0,1,47,100,mixedType,0,1,0,1,1,46,15,0,15,0
503,Jitendra et al. (2002),6,multiProbe,0,1,1,3,M,0,0,1,49,100,mixedType,0,1,0,1,1,48,17,2,17,2
504,Jitendra et al. (2002),6,multiProbe,0,1,1,4,A,1,0,0,35,33,mixedType,0,1,0,0,0,0,-4,0,0,0
505,Jitendra et al. (2002),6,multiProbe,0,1,1,4,A,1,0,0,36,33,mixedType,0,1,0,0,0,1,-3,0,0,0
506,Jitendra et al. (2002),6,multiProbe,0,1,1,4,A,1,0,0,37,50,mixedType,0,1,0,0,0,2,-2,0,0,0
507,Jitendra et al. (2002),6,multiProbe,0,1,1,4,A,1,0,0,38,0,mixedType,0,1,0,0,0,3,-1,0,0,0
508,Jitendra et al. (2002),6,multiProbe,0,1,1,4,B,0,1,0,39,100,singleType,1,0,0,1,0,4,0,0,0,0
509,Jitendra et al. (2002),6,multiProbe,0,1,1,4,B,0,1,0,40,100,singleType,1,0,0,1,0,5,1,0,1,0
510,Jitendra et al. (2002),6,multiProbe,0,1,1,4,B,0,1,0,41,100,singleType,1,0,0,1,0,6,2,0,2,0
511,Jitendra et al. (2002),6,multiProbe,0,1,1,4,B,0,1,0,43,67,mixedType,0,1,0,1,0,8,4,0,4,0
512,Jitendra et al. (2002),6,multiProbe,0,1,1,4,B,0,1,0,44,50,mixedType,0,1,0,1,0,9,5,0,5,0
513,Jitendra et al. (2002),6,multiProbe,0,1,1,4,B,0,1,0,46,100,singleType,1,0,0,1,0,11,7,0,7,0
514,Jitendra et al. (2002),6,multiProbe,0,1,1,4,B,0,1,0,47,100,singleType,1,0,0,1,0,12,8,0,8,0
515,Jitendra et al. (2002),6,multiProbe,0,1,1,4,B,0,1,0,48,100,singleType,1,0,0,1,0,13,9,0,9,0
516,Jitendra et al. (2002),6,multiProbe,0,1,1,4,B,0,1,0,50,100,mixedType,0,1,0,1,0,15,11,0,11,0
517,Jitendra et al. (2002),6,multiProbe,0,1,1,4,B,0,1,0,51,100,mixedType,0,1,0,1,0,16,12,0,12,0
518,Jitendra & Hoff (1996),7,multiProbe,0,1,1,1,A,1,0,0,1,20,mixedType,0,1,0,0,0,0,-3,-18,0,0
519,Jitendra & Hoff (1996),7,multiProbe,0,1,1,1,A,1,0,0,2,10,mixedType,0,1,0,0,0,1,-2,-17,0,0
520,Jitendra & Hoff (1996),7,multiProbe,0,1,1,1,A,1,0,0,3,30,mixedType,0,1,0,0,0,2,-1,-16,0,0
521,Jitendra & Hoff (1996),7,multiProbe,0,1,1,1,B,0,1,0,4,100,singleType,1,0,0,1,0,3,0,-15,0,0
522,Jitendra & Hoff (1996),7,multiProbe,0,1,1,1,B,0,1,0,5,87,singleType,1,0,0,1,0,4,1,-14,1,0
523,Jitendra & Hoff (1996),7,multiProbe,0,1,1,1,B,0,1,0,6,99,singleType,1,0,0,1,0,5,2,-13,2,0
524,Jitendra & Hoff (1996),7,multiProbe,0,1,1,1,B,0,1,0,7,87,mixedType,0,1,0,1,0,6,3,-12,3,0
525,Jitendra & Hoff (1996),7,multiProbe,0,1,1,1,B,0,1,0,8,99,mixedType,0,1,0,1,0,7,4,-11,4,0
526,Jitendra & Hoff (1996),7,multiProbe,0,1,1,1,B,0,1,0,9,99,mixedType,0,1,0,1,0,8,5,-10,5,0
527,Jitendra & Hoff (1996),7,multiProbe,0,1,1,1,B,0,1,0,10,42,mixedType,0,1,0,1,0,9,6,-9,6,0
528,Jitendra & Hoff (1996),7,multiProbe,0,1,1,1,B,0,1,0,11,100,singleType,1,0,0,1,0,10,7,-8,7,0
529,Jitendra & Hoff (1996),7,multiProbe,0,1,1,1,B,0,1,0,12,86,singleType,1,0,0,1,0,11,8,-7,8,0
530,Jitendra & Hoff (1996),7,multiProbe,0,1,1,1,B,0,1,0,13,98,singleType,1,0,0,1,0,12,9,-6,9,0
531,Jitendra & Hoff (1996),7,multiProbe,0,1,1,1,B,0,1,0,14,98,mixedType,0,1,0,1,0,13,10,-5,10,0
532,Jitendra & Hoff (1996),7,multiProbe,0,1,1,1,B,0,1,0,15,99,mixedType,0,1,0,1,0,14,11,-4,11,0
533,Jitendra & Hoff (1996),7,multiProbe,0,1,1,1,B,0,1,0,16,94,mixedType,0,1,0,1,0,15,12,-3,12,0
534,Jitendra & Hoff (1996),7,multiProbe,0,1,1,1,B,0,1,0,17,95,mixedType,0,1,0,1,0,16,13,-2,13,0
535,Jitendra & Hoff (1996),7,multiProbe,0,1,1,1,B,0,1,0,18,79,mixedType,0,1,0,1,0,17,14,-1,14,0
536,Jitendra & Hoff (1996),7,multiProbe,0,1,1,1,M,0,0,1,19,75,mixedType,0,1,0,1,1,18,15,0,15,0
537,Jitendra & Hoff (1996),7,multiProbe,0,1,1,1,M,0,0,1,20,65,mixedType,0,1,0,1,1,19,16,1,16,1
538,Jitendra & Hoff (1996),7,multiProbe,0,1,1,2,A,1,0,0,1,25,mixedType,0,1,0,0,0,0,-3,-23,0,0
539,Jitendra & Hoff (1996),7,multiProbe,0,1,1,2,A,1,0,0,2,25,mixedType,0,1,0,0,0,1,-2,-22,0,0
540,Jitendra & Hoff (1996),7,multiProbe,0,1,1,2,A,1,0,0,3,40,mixedType,0,1,0,0,0,2,-1,-21,0,0
541,Jitendra & Hoff (1996),7,multiProbe,0,1,1,2,B,0,1,0,4,100,singleType,1,0,0,1,0,3,0,-20,0,0
542,Jitendra & Hoff (1996),7,multiProbe,0,1,1,2,B,0,1,0,5,88,singleType,1,0,0,1,0,4,1,-19,1,0
543,Jitendra & Hoff (1996),7,multiProbe,0,1,1,2,B,0,1,0,6,50,singleType,1,0,0,1,0,5,2,-18,2,0
544,Jitendra & Hoff (1996),7,multiProbe,0,1,1,2,B,0,1,0,7,100,mixedType,0,1,0,1,0,6,3,-17,3,0
545,Jitendra & Hoff (1996),7,multiProbe,0,1,1,2,B,0,1,0,8,100,mixedType,0,1,0,1,0,7,4,-16,4,0
546,Jitendra & Hoff (1996),7,multiProbe,0,1,1,2,B,0,1,0,10,44,mixedType,0,1,0,1,0,9,6,-14,6,0
547,Jitendra & Hoff (1996),7,multiProbe,0,1,1,2,B,0,1,0,16,100,singleType,1,0,0,1,0,15,12,-8,12,0
548,Jitendra & Hoff (1996),7,multiProbe,0,1,1,2,B,0,1,0,17,100,singleType,1,0,0,1,0,16,13,-7,13,0
549,Jitendra & Hoff (1996),7,multiProbe,0,1,1,2,B,0,1,0,18,75,singleType,1,0,0,1,0,17,14,-6,14,0
550,Jitendra & Hoff (1996),7,multiProbe,0,1,1,2,B,0,1,0,19,100,mixedType,0,1,0,1,0,18,15,-5,15,0
551,Jitendra & Hoff (1996),7,multiProbe,0,1,1,2,B,0,1,0,20,100,mixedType,0,1,0,1,0,19,16,-4,16,0
552,Jitendra & Hoff (1996),7,multiProbe,0,1,1,2,B,0,1,0,21,89,mixedType,0,1,0,1,0,20,17,-3,17,0
553,Jitendra & Hoff (1996),7,multiProbe,0,1,1,2,B,0,1,0,22,56,mixedType,0,1,0,1,0,21,18,-2,18,0
554,Jitendra & Hoff (1996),7,multiProbe,0,1,1,2,B,0,1,0,23,94,mixedType,0,1,0,1,0,22,19,-1,19,0
555,Jitendra & Hoff (1996),7,multiProbe,0,1,1,2,M,0,0,1,24,80,mixedType,0,1,0,1,1,23,20,0,20,0
556,Jitendra & Hoff (1996),7,multiProbe,0,1,1,2,M,0,0,1,25,95,mixedType,0,1,0,1,1,24,21,1,21,1
557,Jitendra & Hoff (1996),7,multiProbe,0,1,1,3,A,1,0,0,1,35,mixedType,0,1,0,0,0,0,-3,-28,0,0
558,Jitendra & Hoff (1996),7,multiProbe,0,1,1,3,A,1,0,0,2,20,mixedType,0,1,0,0,0,1,-2,-27,0,0
559,Jitendra & Hoff (1996),7,multiProbe,0,1,1,3,A,1,0,0,3,28,mixedType,0,1,0,0,0,2,-1,-26,0,0
560,Jitendra & Hoff (1996),7,multiProbe,0,1,1,3,B,0,1,0,4,100,singleType,1,0,0,1,0,3,0,-25,0,0
561,Jitendra & Hoff (1996),7,multiProbe,0,1,1,3,B,0,1,0,5,100,singleType,1,0,0,1,0,4,1,-24,1,0
562,Jitendra & Hoff (1996),7,multiProbe,0,1,1,3,B,0,1,0,6,67,singleType,1,0,0,1,0,5,2,-23,2,0
563,Jitendra & Hoff (1996),7,multiProbe,0,1,1,3,B,0,1,0,7,100,mixedType,0,1,0,1,0,6,3,-22,3,0
564,Jitendra & Hoff (1996),7,multiProbe,0,1,1,3,B,0,1,0,8,100,mixedType,0,1,0,1,0,7,4,-21,4,0
565,Jitendra & Hoff (1996),7,multiProbe,0,1,1,3,B,0,1,0,10,38,mixedType,0,1,0,1,0,9,6,-19,6,0
566,Jitendra & Hoff (1996),7,multiProbe,0,1,1,3,B,0,1,0,21,89,singleType,1,0,0,1,0,20,17,-8,17,0
567,Jitendra & Hoff (1996),7,multiProbe,0,1,1,3,B,0,1,0,22,86,singleType,1,0,0,1,0,21,18,-7,18,0
568,Jitendra & Hoff (1996),7,multiProbe,0,1,1,3,B,0,1,0,23,99,singleType,1,0,0,1,0,22,19,-6,19,0
569,Jitendra & Hoff (1996),7,multiProbe,0,1,1,3,B,0,1,0,24,99,mixedType,0,1,0,1,0,23,20,-5,20,0
570,Jitendra & Hoff (1996),7,multiProbe,0,1,1,3,B,0,1,0,25,100,mixedType,0,1,0,1,0,24,21,-4,21,0
571,Jitendra & Hoff (1996),7,multiProbe,0,1,1,3,B,0,1,0,26,87,mixedType,0,1,0,1,0,25,22,-3,22,0
572,Jitendra & Hoff (1996),7,multiProbe,0,1,1,3,B,0,1,0,27,87,mixedType,0,1,0,1,0,26,23,-2,23,0
573,Jitendra & Hoff (1996),7,multiProbe,0,1,1,3,B,0,1,0,28,94,mixedType,0,1,0,1,0,27,24,-1,24,0
574,Jitendra & Hoff (1996),7,multiProbe,0,1,1,3,M,0,0,1,29,75,mixedType,0,1,0,1,1,28,25,0,25,0
575,Jitendra & Hoff (1996),7,multiProbe,0,1,1,3,M,0,0,1,30,87,mixedType,0,1,0,1,1,29,26,1,26,1
576,Liu & Xin (2017),8,multiBase,1,0,1,1,A,1,0,0,1,33,mixedType,0,1,0,0,0,0,-5,-17,0,0
577,Liu & Xin (2017),8,multiBase,1,0,1,1,A,1,0,0,2,25,mixedType,0,1,0,0,0,1,-4,-16,0,0
578,Liu & Xin (2017),8,multiBase,1,0,1,1,A,1,0,0,3,42,mixedType,0,1,0,0,0,2,-3,-15,0,0
579,Liu & Xin (2017),8,multiBase,1,0,1,1,A,1,0,0,4,17,mixedType,0,1,0,0,0,3,-2,-14,0,0
580,Liu & Xin (2017),8,multiBase,1,0,1,1,A,1,0,0,5,0,mixedType,0,1,0,0,0,4,-1,-13,0,0
581,Liu & Xin (2017),8,multiBase,1,0,1,1,B,0,1,0,6,58,mixedType,0,1,0,1,0,5,0,-12,0,0
582,Liu & Xin (2017),8,multiBase,1,0,1,1,B,0,1,0,7,42,mixedType,0,1,0,1,0,6,1,-11,1,0
583,Liu & Xin (2017),8,multiBase,1,0,1,1,B,0,1,0,8,50,mixedType,0,1,0,1,0,7,2,-10,2,0
584,Liu & Xin (2017),8,multiBase,1,0,1,1,B,0,1,0,9,58,mixedType,0,1,0,1,0,8,3,-9,3,0
585,Liu & Xin (2017),8,multiBase,1,0,1,1,B,0,1,0,10,67,mixedType,0,1,0,1,0,9,4,-8,4,0
586,Liu & Xin (2017),8,multiBase,1,0,1,1,B,0,1,0,11,75,mixedType,0,1,0,1,0,10,5,-7,5,0
587,Liu & Xin (2017),8,multiBase,1,0,1,1,B,0,1,0,12,75,mixedType,0,1,0,1,0,11,6,-6,6,0
588,Liu & Xin (2017),8,multiBase,1,0,1,1,B,0,1,0,13,83,mixedType,0,1,0,1,0,12,7,-5,7,0
589,Liu & Xin (2017),8,multiBase,1,0,1,1,B,0,1,0,14,83,mixedType,0,1,0,1,0,13,8,-4,8,0
590,Liu & Xin (2017),8,multiBase,1,0,1,1,B,0,1,0,15,50,mixedType,0,1,0,1,0,14,9,-3,9,0
591,Liu & Xin (2017),8,multiBase,1,0,1,1,M,0,0,1,18,67,mixedType,0,1,0,1,1,17,12,0,12,0
592,Liu & Xin (2017),8,multiBase,1,0,1,1,M,0,0,1,19,50,mixedType,0,1,0,1,1,18,13,1,13,1
593,Liu & Xin (2017),8,multiBase,1,0,1,1,M,0,0,1,20,83,mixedType,0,1,0,1,1,19,14,2,14,2
594,Liu & Xin (2017),8,multiBase,1,0,1,2,A,1,0,0,1,0,mixedType,0,1,0,0,0,0,-6,-18,0,0
595,Liu & Xin (2017),8,multiBase,1,0,1,2,A,1,0,0,3,0,mixedType,0,1,0,0,0,2,-4,-16,0,0
596,Liu & Xin (2017),8,multiBase,1,0,1,2,A,1,0,0,4,0,mixedType,0,1,0,0,0,3,-3,-15,0,0
597,Liu & Xin (2017),8,multiBase,1,0,1,2,A,1,0,0,5,8,mixedType,0,1,0,0,0,4,-2,-14,0,0
598,Liu & Xin (2017),8,multiBase,1,0,1,2,A,1,0,0,6,0,mixedType,0,1,0,0,0,5,-1,-13,0,0
599,Liu & Xin (2017),8,multiBase,1,0,1,2,B,0,1,0,7,42,mixedType,0,1,0,1,0,6,0,-12,0,0
600,Liu & Xin (2017),8,multiBase,1,0,1,2,B,0,1,0,8,33,mixedType,0,1,0,1,0,7,1,-11,1,0
601,Liu & Xin (2017),8,multiBase,1,0,1,2,B,0,1,0,9,67,mixedType,0,1,0,1,0,8,2,-10,2,0
602,Liu & Xin (2017),8,multiBase,1,0,1,2,B,0,1,0,10,58,mixedType,0,1,0,1,0,9,3,-9,3,0
603,Liu & Xin (2017),8,multiBase,1,0,1,2,B,0,1,0,11,75,mixedType,0,1,0,1,0,10,4,-8,4,0
604,Liu & Xin (2017),8,multiBase,1,0,1,2,B,0,1,0,12,75,mixedType,0,1,0,1,0,11,5,-7,5,0
605,Liu & Xin (2017),8,multiBase,1,0,1,2,B,0,1,0,13,83,mixedType,0,1,0,1,0,12,6,-6,6,0
606,Liu & Xin (2017),8,multiBase,1,0,1,2,B,0,1,0,14,75,mixedType,0,1,0,1,0,13,7,-5,7,0
607,Liu & Xin (2017),8,multiBase,1,0,1,2,B,0,1,0,15,75,mixedType,0,1,0,1,0,14,8,-4,8,0
608,Liu & Xin (2017),8,multiBase,1,0,1,2,B,0,1,0,16,58,mixedType,0,1,0,1,0,15,9,-3,9,0
609,Liu & Xin (2017),8,multiBase,1,0,1,2,B,0,1,0,17,67,mixedType,0,1,0,1,0,16,10,-2,10,0
610,Liu & Xin (2017),8,multiBase,1,0,1,2,M,0,0,1,19,50,mixedType,0,1,0,1,1,18,12,0,12,0
611,Liu & Xin (2017),8,multiBase,1,0,1,2,M,0,0,1,20,75,mixedType,0,1,0,1,1,19,13,1,13,1
612,Liu & Xin (2017),8,multiBase,1,0,1,2,M,0,0,1,21,83,mixedType,0,1,0,1,1,20,14,2,14,2
613,Liu & Xin (2017),8,multiBase,1,0,1,3,A,1,0,0,1,0,mixedType,0,1,0,0,0,0,-7,-26,0,0
614,Liu & Xin (2017),8,multiBase,1,0,1,3,A,1,0,0,3,0,mixedType,0,1,0,0,0,2,-5,-24,0,0
615,Liu & Xin (2017),8,multiBase,1,0,1,3,A,1,0,0,5,0,mixedType,0,1,0,0,0,4,-3,-22,0,0
616,Liu & Xin (2017),8,multiBase,1,0,1,3,A,1,0,0,6,0,mixedType,0,1,0,0,0,5,-2,-21,0,0
617,Liu & Xin (2017),8,multiBase,1,0,1,3,A,1,0,0,7,0,mixedType,0,1,0,0,0,6,-1,-20,0,0
618,Liu & Xin (2017),8,multiBase,1,0,1,3,B,0,1,0,8,25,mixedType,0,1,0,1,0,7,0,-19,0,0
619,Liu & Xin (2017),8,multiBase,1,0,1,3,B,0,1,0,9,33,mixedType,0,1,0,1,0,8,1,-18,1,0
620,Liu & Xin (2017),8,multiBase,1,0,1,3,B,0,1,0,10,8,mixedType,0,1,0,1,0,9,2,-17,2,0
621,Liu & Xin (2017),8,multiBase,1,0,1,3,B,0,1,0,11,42,mixedType,0,1,0,1,0,10,3,-16,3,0
622,Liu & Xin (2017),8,multiBase,1,0,1,3,B,0,1,0,12,42,mixedType,0,1,0,1,0,11,4,-15,4,0
623,Liu & Xin (2017),8,multiBase,1,0,1,3,B,0,1,0,13,42,mixedType,0,1,0,1,0,12,5,-14,5,0
624,Liu & Xin (2017),8,multiBase,1,0,1,3,B,0,1,0,14,42,mixedType,0,1,0,1,0,13,6,-13,6,0
625,Liu & Xin (2017),8,multiBase,1,0,1,3,B,0,1,0,15,75,mixedType,0,1,0,1,0,14,7,-12,7,0
626,Liu & Xin (2017),8,multiBase,1,0,1,3,B,0,1,0,16,83,mixedType,0,1,0,1,0,15,8,-11,8,0
627,Liu & Xin (2017),8,multiBase,1,0,1,3,B,0,1,0,17,100,mixedType,0,1,0,1,0,16,9,-10,9,0
628,Liu & Xin (2017),8,multiBase,1,0,1,3,B,0,1,0,18,75,mixedType,0,1,0,1,0,17,10,-9,10,0
629,Liu & Xin (2017),8,multiBase,1,0,1,3,B,0,1,0,19,75,mixedType,0,1,0,1,0,18,11,-8,11,0
630,Liu & Xin (2017),8,multiBase,1,0,1,3,B,0,1,0,20,83,mixedType,0,1,0,1,0,19,12,-7,12,0
631,Liu & Xin (2017),8,multiBase,1,0,1,3,B,0,1,0,21,83,mixedType,0,1,0,1,0,20,13,-6,13,0
632,Liu & Xin (2017),8,multiBase,1,0,1,3,B,0,1,0,22,83,mixedType,0,1,0,1,0,21,14,-5,14,0
633,Liu & Xin (2017),8,multiBase,1,0,1,3,B,0,1,0,23,75,mixedType,0,1,0,1,0,22,15,-4,15,0
634,Liu & Xin (2017),8,multiBase,1,0,1,3,B,0,1,0,24,83,mixedType,0,1,0,1,0,23,16,-3,16,0
635,Liu & Xin (2017),8,multiBase,1,0,1,3,M,0,0,1,27,83,mixedType,0,1,0,1,1,26,19,0,19,0
636,Liu & Xin (2017),8,multiBase,1,0,1,3,M,0,0,1,28,50,mixedType,0,1,0,1,1,27,20,1,20,1
637,Liu & Xin (2017),8,multiBase,1,0,1,3,M,0,0,1,29,58,mixedType,0,1,0,1,1,28,21,2,21,2
638,Liu & Xin (2017),8,multiBase,1,0,2,1,A,1,0,0,1,50,mixedType,0,1,0,0,0,0,-5,-17,0,0
639,Liu & Xin (2017),8,multiBase,1,0,2,1,A,1,0,0,2,42,mixedType,0,1,0,0,0,1,-4,-16,0,0
640,Liu & Xin (2017),8,multiBase,1,0,2,1,A,1,0,0,3,67,mixedType,0,1,0,0,0,2,-3,-15,0,0
641,Liu & Xin (2017),8,multiBase,1,0,2,1,A,1,0,0,4,25,mixedType,0,1,0,0,0,3,-2,-14,0,0
642,Liu & Xin (2017),8,multiBase,1,0,2,1,A,1,0,0,5,33,mixedType,0,1,0,0,0,4,-1,-13,0,0
643,Liu & Xin (2017),8,multiBase,1,0,2,1,B,0,1,0,6,100,mixedType,0,1,0,1,0,5,0,-12,0,0
644,Liu & Xin (2017),8,multiBase,1,0,2,1,B,0,1,0,7,67,mixedType,0,1,0,1,0,6,1,-11,1,0
645,Liu & Xin (2017),8,multiBase,1,0,2,1,B,0,1,0,8,83,mixedType,0,1,0,1,0,7,2,-10,2,0
646,Liu & Xin (2017),8,multiBase,1,0,2,1,B,0,1,0,9,75,mixedType,0,1,0,1,0,8,3,-9,3,0
647,Liu & Xin (2017),8,multiBase,1,0,2,1,B,0,1,0,10,75,mixedType,0,1,0,1,0,9,4,-8,4,0
648,Liu & Xin (2017),8,multiBase,1,0,2,1,B,0,1,0,11,100,mixedType,0,1,0,1,0,10,5,-7,5,0
649,Liu & Xin (2017),8,multiBase,1,0,2,1,B,0,1,0,12,100,mixedType,0,1,0,1,0,11,6,-6,6,0
650,Liu & Xin (2017),8,multiBase,1,0,2,1,B,0,1,0,13,100,mixedType,0,1,0,1,0,12,7,-5,7,0
651,Liu & Xin (2017),8,multiBase,1,0,2,1,B,0,1,0,14,100,mixedType,0,1,0,1,0,13,8,-4,8,0
652,Liu & Xin (2017),8,multiBase,1,0,2,1,B,0,1,0,15,100,mixedType,0,1,0,1,0,14,9,-3,9,0
653,Liu & Xin (2017),8,multiBase,1,0,2,1,M,0,0,1,18,100,mixedType,0,1,0,1,1,17,12,0,12,0
654,Liu & Xin (2017),8,multiBase,1,0,2,1,M,0,0,1,19,100,mixedType,0,1,0,1,1,18,13,1,13,1
655,Liu & Xin (2017),8,multiBase,1,0,2,1,M,0,0,1,20,100,mixedType,0,1,0,1,1,19,14,2,14,2
656,Liu & Xin (2017),8,multiBase,1,0,2,2,A,1,0,0,3,50,mixedType,0,1,0,0,0,0,-4,-16,0,0
657,Liu & Xin (2017),8,multiBase,1,0,2,2,A,1,0,0,4,25,mixedType,0,1,0,0,0,1,-3,-15,0,0
658,Liu & Xin (2017),8,multiBase,1,0,2,2,A,1,0,0,5,33,mixedType,0,1,0,0,0,2,-2,-14,0,0
659,Liu & Xin (2017),8,multiBase,1,0,2,2,A,1,0,0,6,33,mixedType,0,1,0,0,0,3,-1,-13,0,0
660,Liu & Xin (2017),8,multiBase,1,0,2,2,B,0,1,0,7,83,mixedType,0,1,0,1,0,4,0,-12,0,0
661,Liu & Xin (2017),8,multiBase,1,0,2,2,B,0,1,0,8,67,mixedType,0,1,0,1,0,5,1,-11,1,0
662,Liu & Xin (2017),8,multiBase,1,0,2,2,B,0,1,0,9,100,mixedType,0,1,0,1,0,6,2,-10,2,0
663,Liu & Xin (2017),8,multiBase,1,0,2,2,B,0,1,0,10,100,mixedType,0,1,0,1,0,7,3,-9,3,0
664,Liu & Xin (2017),8,multiBase,1,0,2,2,B,0,1,0,11,100,mixedType,0,1,0,1,0,8,4,-8,4,0
665,Liu & Xin (2017),8,multiBase,1,0,2,2,B,0,1,0,12,92,mixedType,0,1,0,1,0,9,5,-7,5,0
666,Liu & Xin (2017),8,multiBase,1,0,2,2,B,0,1,0,13,100,mixedType,0,1,0,1,0,10,6,-6,6,0
667,Liu & Xin (2017),8,multiBase,1,0,2,2,B,0,1,0,14,100,mixedType,0,1,0,1,0,11,7,-5,7,0
668,Liu & Xin (2017),8,multiBase,1,0,2,2,B,0,1,0,15,100,mixedType,0,1,0,1,0,12,8,-4,8,0
669,Liu & Xin (2017),8,multiBase,1,0,2,2,B,0,1,0,16,83,mixedType,0,1,0,1,0,13,9,-3,9,0
670,Liu & Xin (2017),8,multiBase,1,0,2,2,B,0,1,0,17,100,mixedType,0,1,0,1,0,14,10,-2,10,0
671,Liu & Xin (2017),8,multiBase,1,0,2,2,M,0,0,1,19,100,mixedType,0,1,0,1,1,16,12,0,12,0
672,Liu & Xin (2017),8,multiBase,1,0,2,2,M,0,0,1,20,100,mixedType,0,1,0,1,1,17,13,1,13,1
673,Liu & Xin (2017),8,multiBase,1,0,2,2,M,0,0,1,21,100,mixedType,0,1,0,1,1,18,14,2,14,2
674,Liu & Xin (2017),8,multiBase,1,0,2,3,A,1,0,0,5,8,mixedType,0,1,0,0,0,0,-3,-22,0,0
675,Liu & Xin (2017),8,multiBase,1,0,2,3,A,1,0,0,6,0,mixedType,0,1,0,0,0,1,-2,-21,0,0
676,Liu & Xin (2017),8,multiBase,1,0,2,3,A,1,0,0,7,0,mixedType,0,1,0,0,0,2,-1,-20,0,0
677,Liu & Xin (2017),8,multiBase,1,0,2,3,B,0,1,0,8,33,mixedType,0,1,0,1,0,3,0,-19,0,0
678,Liu & Xin (2017),8,multiBase,1,0,2,3,B,0,1,0,9,67,mixedType,0,1,0,1,0,4,1,-18,1,0
679,Liu & Xin (2017),8,multiBase,1,0,2,3,B,0,1,0,10,67,mixedType,0,1,0,1,0,5,2,-17,2,0
680,Liu & Xin (2017),8,multiBase,1,0,2,3,B,0,1,0,11,83,mixedType,0,1,0,1,0,6,3,-16,3,0
681,Liu & Xin (2017),8,multiBase,1,0,2,3,B,0,1,0,12,100,mixedType,0,1,0,1,0,7,4,-15,4,0
682,Liu & Xin (2017),8,multiBase,1,0,2,3,B,0,1,0,13,100,mixedType,0,1,0,1,0,8,5,-14,5,0
683,Liu & Xin (2017),8,multiBase,1,0,2,3,B,0,1,0,14,67,mixedType,0,1,0,1,0,9,6,-13,6,0
684,Liu & Xin (2017),8,multiBase,1,0,2,3,B,0,1,0,15,100,mixedType,0,1,0,1,0,10,7,-12,7,0
685,Liu & Xin (2017),8,multiBase,1,0,2,3,B,0,1,0,16,100,mixedType,0,1,0,1,0,11,8,-11,8,0
686,Liu & Xin (2017),8,multiBase,1,0,2,3,B,0,1,0,17,100,mixedType,0,1,0,1,0,12,9,-10,9,0
687,Liu & Xin (2017),8,multiBase,1,0,2,3,B,0,1,0,18,100,mixedType,0,1,0,1,0,13,10,-9,10,0
688,Liu & Xin (2017),8,multiBase,1,0,2,3,B,0,1,0,19,100,mixedType,0,1,0,1,0,14,11,-8,11,0
689,Liu & Xin (2017),8,multiBase,1,0,2,3,B,0,1,0,20,83,mixedType,0,1,0,1,0,15,12,-7,12,0
