authorYear,study,designType,cluster,case,phase,session,outcome,complexityMeasure
van Garderen (2007),20,multiProbe,1,2,A,1,25,combinedType
van Garderen (2007),20,multiProbe,1,2,A,10,63,combinedType
van Garderen (2007),20,multiProbe,1,2,A,20,50,combinedType
van Garderen (2007),20,multiProbe,1,2,A,21,37,combinedType
van Garderen (2007),20,multiProbe,1,2,A,29,62,combinedType
van Garderen (2007),20,multiProbe,1,2,B,36,75,singleType
van Garderen (2007),20,multiProbe,1,2,B,38,88,singleType
van Garderen (2007),20,multiProbe,1,2,B,39,88,singleType
van Garderen (2007),20,multiProbe,1,2,B,40,37,combinedType
van Garderen (2007),20,multiProbe,1,2,B,48,88,singleType
van Garderen (2007),20,multiProbe,1,2,B,49,88,singleType
van Garderen (2007),20,multiProbe,1,2,B,50,75,singleType
van Garderen (2007),20,multiProbe,1,2,B,52,88,combinedType
van Garderen (2007),20,multiProbe,1,2,M,59,75,combinedType
van Garderen (2007),20,multiProbe,1,2,M,69,75,combinedType
van Garderen (2007),20,multiProbe,1,3,A,2,25,combinedType
van Garderen (2007),20,multiProbe,1,3,A,12,51,combinedType
van Garderen (2007),20,multiProbe,1,3,A,30,25,combinedType
van Garderen (2007),20,multiProbe,1,3,A,37,63,combinedType
van Garderen (2007),20,multiProbe,1,3,A,38,38,combinedType
van Garderen (2007),20,multiProbe,1,3,A,43,25,combinedType
van Garderen (2007),20,multiProbe,1,3,B,53,76,singleType
van Garderen (2007),20,multiProbe,1,3,B,54,63,singleType
van Garderen (2007),20,multiProbe,1,3,B,55,88,singleType
van Garderen (2007),20,multiProbe,1,3,B,56,76,singleType
van Garderen (2007),20,multiProbe,1,3,B,58,76,singleType
van Garderen (2007),20,multiProbe,1,3,B,60,63,combinedType
van Garderen (2007),20,multiProbe,1,3,B,65,75,singleType
van Garderen (2007),20,multiProbe,1,3,B,66,88,singleType
van Garderen (2007),20,multiProbe,1,3,B,68,75,singleType
van Garderen (2007),20,multiProbe,1,3,B,70,75,combinedType
Yang & Xin (2022),21,multiProbe,1,1,A,1,18,combinedType
Yang & Xin (2022),21,multiProbe,1,1,A,2,0,combinedType
Yang & Xin (2022),21,multiProbe,1,1,A,3,0,combinedType
Yang & Xin (2022),21,multiProbe,1,1,A,4,24,generalization
Yang & Xin (2022),21,multiProbe,1,1,B,5,42,combinedType
Yang & Xin (2022),21,multiProbe,1,1,B,6,66,combinedType
Yang & Xin (2022),21,multiProbe,1,1,B,7,82,combinedType
Yang & Xin (2022),21,multiProbe,1,1,B,8,81,combinedType
Yang & Xin (2022),21,multiProbe,1,1,B,9,100,combinedType
Yang & Xin (2022),21,multiProbe,1,1,B,10,100,combinedType
Yang & Xin (2022),21,multiProbe,1,1,M,11,66,combinedType
Yang & Xin (2022),21,multiProbe,1,1,M,12,82,combinedType
Yang & Xin (2022),21,multiProbe,1,1,M,13,82,combinedType
Yang & Xin (2022),21,multiProbe,1,1,M,14,72,generalization
Yang & Xin (2022),21,multiProbe,1,1,M,15,66,combinedType
Yang & Xin (2022),21,multiProbe,1,1,M,16,100,combinedType
Yang & Xin (2022),21,multiProbe,1,1,M,17,82,combinedType
Yang & Xin (2022),21,multiProbe,1,1,M,18,60,generalization
Yang & Xin (2022),21,multiProbe,1,2,A,1,15,combinedType
Yang & Xin (2022),21,multiProbe,1,2,A,3,32,combinedType
Yang & Xin (2022),21,multiProbe,1,2,A,4,16,combinedType
Yang & Xin (2022),21,multiProbe,1,2,A,5,24,generalization
Yang & Xin (2022),21,multiProbe,1,2,B,6,66,combinedType
Yang & Xin (2022),21,multiProbe,1,2,B,7,100,combinedType
Yang & Xin (2022),21,multiProbe,1,2,B,8,83,combinedType
Yang & Xin (2022),21,multiProbe,1,2,B,9,100,combinedType
Yang & Xin (2022),21,multiProbe,1,2,B,10,84,combinedType
Yang & Xin (2022),21,multiProbe,1,2,B,11,100,combinedType
Yang & Xin (2022),21,multiProbe,1,2,M,12,100,combinedType
Yang & Xin (2022),21,multiProbe,1,2,M,13,100,combinedType
Yang & Xin (2022),21,multiProbe,1,2,M,14,100,combinedType
Yang & Xin (2022),21,multiProbe,1,2,M,15,74,generalization
Yang & Xin (2022),21,multiProbe,1,2,M,16,83,combinedType
Yang & Xin (2022),21,multiProbe,1,2,M,17,100,combinedType
Yang & Xin (2022),21,multiProbe,1,2,M,18,84,combinedType
Yang & Xin (2022),21,multiProbe,1,2,M,19,24,generalization
Yang & Xin (2022),21,multiProbe,1,3,A,1,56,combinedType
Yang & Xin (2022),21,multiProbe,1,3,A,4,40,combinedType
Yang & Xin (2022),21,multiProbe,1,3,A,5,40,combinedType
Yang & Xin (2022),21,multiProbe,1,3,A,6,0,generalization
Yang & Xin (2022),21,multiProbe,1,3,B,7,67,combinedType
Yang & Xin (2022),21,multiProbe,1,3,B,8,83,combinedType
Yang & Xin (2022),21,multiProbe,1,3,B,9,100,combinedType
Yang & Xin (2022),21,multiProbe,1,3,B,10,100,combinedType
Yang & Xin (2022),21,multiProbe,1,3,B,11,100,combinedType
Yang & Xin (2022),21,multiProbe,1,3,B,12,100,combinedType
Yang & Xin (2022),21,multiProbe,1,3,M,13,100,combinedType
Yang & Xin (2022),21,multiProbe,1,3,M,14,100,combinedType
Yang & Xin (2022),21,multiProbe,1,3,M,15,100,combinedType
Yang & Xin (2022),21,multiProbe,1,3,M,16,24,generalization
Yang & Xin (2022),21,multiProbe,1,3,M,17,83,combinedType
Yang & Xin (2022),21,multiProbe,1,3,M,18,83,combinedType
Yang & Xin (2022),21,multiProbe,1,3,M,19,24,generalization
Yang & Xin (2022),21,multiProbe,2,1,A,1,18,combinedType
Yang & Xin (2022),21,multiProbe,2,1,A,2,0,combinedType
Yang & Xin (2022),21,multiProbe,2,1,A,3,0,combinedType
Yang & Xin (2022),21,multiProbe,2,1,A,4,24,generalization
Yang & Xin (2022),21,multiProbe,2,1,B,5,38,combinedType
Yang & Xin (2022),21,multiProbe,2,1,B,6,32,combinedType
Yang & Xin (2022),21,multiProbe,2,1,B,7,82,combinedType
Yang & Xin (2022),21,multiProbe,2,1,B,8,74,combinedType
Yang & Xin (2022),21,multiProbe,2,1,B,9,90,combinedType
Yang & Xin (2022),21,multiProbe,2,1,B,10,90,combinedType
Yang & Xin (2022),21,multiProbe,2,1,M,11,82,combinedType
Yang & Xin (2022),21,multiProbe,2,1,M,12,93,combinedType
Yang & Xin (2022),21,multiProbe,2,1,M,13,92,combinedType
Yang & Xin (2022),21,multiProbe,2,1,M,14,72,generalization
Yang & Xin (2022),21,multiProbe,2,1,M,15,100,combinedType
Yang & Xin (2022),21,multiProbe,2,1,M,16,96,combinedType
Yang & Xin (2022),21,multiProbe,2,1,M,17,100,combinedType
Yang & Xin (2022),21,multiProbe,2,1,M,18,60,generalization
Yang & Xin (2022),21,multiProbe,2,2,A,1,43,combinedType
Yang & Xin (2022),21,multiProbe,2,2,A,3,55,combinedType
Yang & Xin (2022),21,multiProbe,2,2,A,4,44,combinedType
Yang & Xin (2022),21,multiProbe,2,2,A,5,24,generalization
Yang & Xin (2022),21,multiProbe,2,2,B,6,83,combinedType
Yang & Xin (2022),21,multiProbe,2,2,B,7,82,combinedType
Yang & Xin (2022),21,multiProbe,2,2,B,8,89,combinedType
Yang & Xin (2022),21,multiProbe,2,2,B,9,100,combinedType
Yang & Xin (2022),21,multiProbe,2,2,B,10,100,combinedType
Yang & Xin (2022),21,multiProbe,2,2,B,11,100,combinedType
Yang & Xin (2022),21,multiProbe,2,2,M,12,100,combinedType
Yang & Xin (2022),21,multiProbe,2,2,M,13,100,combinedType
Yang & Xin (2022),21,multiProbe,2,2,M,14,100,combinedType
Yang & Xin (2022),21,multiProbe,2,2,M,15,74,generalization
Yang & Xin (2022),21,multiProbe,2,2,M,16,55,combinedType
Yang & Xin (2022),21,multiProbe,2,2,M,17,100,combinedType
Yang & Xin (2022),21,multiProbe,2,2,M,18,55,combinedType
Yang & Xin (2022),21,multiProbe,2,2,M,19,24,generalization
Yang & Xin (2022),21,multiProbe,2,3,A,1,32,combinedType
Yang & Xin (2022),21,multiProbe,2,3,A,4,55,combinedType
Yang & Xin (2022),21,multiProbe,2,3,A,5,32,combinedType
Yang & Xin (2022),21,multiProbe,2,3,A,6,0,generalization
Yang & Xin (2022),21,multiProbe,2,3,B,7,49,combinedType
Yang & Xin (2022),21,multiProbe,2,3,B,8,89,combinedType
Yang & Xin (2022),21,multiProbe,2,3,B,9,88,combinedType
Yang & Xin (2022),21,multiProbe,2,3,B,10,93,combinedType
Yang & Xin (2022),21,multiProbe,2,3,B,11,100,combinedType
Yang & Xin (2022),21,multiProbe,2,3,B,12,100,combinedType
Yang & Xin (2022),21,multiProbe,2,3,M,13,100,combinedType
Yang & Xin (2022),21,multiProbe,2,3,M,14,94,combinedType
Yang & Xin (2022),21,multiProbe,2,3,M,15,93,combinedType
Yang & Xin (2022),21,multiProbe,2,3,M,16,24,generalization
Yang & Xin (2022),21,multiProbe,2,3,M,17,82,combinedType
Yang & Xin (2022),21,multiProbe,2,3,M,18,101,combinedType
Yang & Xin (2022),21,multiProbe,2,3,M,19,24,generalization
